post_title,link_type,link_group,link_url,menu_order
Dangerous Drugs,websites,Health organizations,http://www.rxdangers.com/drugs,55
Defective Medical Devices,websites,Health organizations,http://www.rxdangers.com/medical-devices,56
Mesothelioma Cancer Alliance,websites,Health organizations,http://www.mesothelioma.com/,57
Mesothelioma + Asbestos Awareness Cente,websites,Health organizations,https://www.maacenter.org/,58
Medical Malpractice Center,websites,Health organizations,https://malpracticecenter.com/,59
Campaign for Tobacco-Free Life,websites,Health organizations,https://tobaccofreelife.org/,60
Drugwatch – Health,websites,Health organizations,http://www.drugwatch.com/health/,61
Drugwatch – Beyond Side Effects,websites,Health organizations,http://www.drugwatch.com/beyond-side-effects/,62
Drug Dangers,websites,Health organizations,http://www.drugdangers.com/,63
United States Department of Agriculture,websites,Government Agencies,http://www.usda.gov/,64
Food and Drug Administration,websites,Government Agencies,https://www.fda.gov/,65
Environmental Protection Agency,websites,Government Agencies,http://www.epa.gov/,66
The National Agricultural Library,websites,Government Agencies,http://www.nal.usda.gov/,67
Agricultural Marketing Service Home Page,websites,Government Agencies,http://www.usda.gov/ams,68
Postharvest Research,websites,"Instrument Design, Fabrication, and Consulting",http://postharvest.ucdavis.edu/,69
"Nitec, Inc.",websites,"Instrument Design, Fabrication, and Consulting",http://www.nitecinc.com/,70
Intermediate Technology Development Group,websites,"Instrument Design, Fabrication, and Consulting",http://web.mit.edu/urbanupgrading/upgrading/resources/organizations/IT.html,71
"Consejo Nacional de Ciencia y Tecnología (CONACyT), México",websites,Governments Organizations,http://www.conacyt.mx/,72
"Sistema Nacional de Investigadores (SNI), México",websites,Governments Organizations,http://www.conacyt.mx/index.php/el-conacyt/sistema-nacional-de-investigadores,73
WORLD FOOD PRESERVATION CENTER LLC,websites,International Organizations,http://worldfoodpreservationcenter.com/,74
The Academy of Sciences for the Developing World (TWAS),websites,International Organizations,http://twas.ictp.it/,75
Crops for the Future,websites,International Organizations,"https://www.nottingham.ac.uk/research/collaborate/projects/cropsfuture.aspx#:~:text=The%20Crops%20for%20the%20Future,University%20of%20Nottingham%20in%20Malaysia.",76
International Union of Food Science and Technology,websites,International Organizations,http://www.iufost.org/,77
GraduateSchools.com,websites,Post-graduate Programs,https://www.gradschools.com/,78
"Becas de CONACyT, México",websites,Post-graduate Programs,http://www.conacyt.mx/index.php/becas-y-posgrados/becas-nacionales,79
"Posgrados de Química, UNAM, México",websites,Post-graduate Programs,http://cienciasquimicas.posgrado.unam.mx/,80
Masters In International Business,websites,Post-graduate Programs,https://landings.ie.edu/masterland-bus-international-mbas-cro?gclid=CjwKCAjwq5-WBhB7EiwAl-HEkqkj7acaOEZZiH6Ue5QNoetdw7hF3VNhTLp5fHYduPwfwF2J5hudvhoCj_EQAvD_BwE&gclsrc=aw.ds,81
Nutrition Science Degree Programs,websites,Post-graduate Programs,http://nutritionsciencedegree.org/,82
"Institute of Food Research, United Kingdom",websites,Research Institutes,http://www.ifr.ac.uk/,83
"National Food Research Institute, Japan",websites,Research Institutes,https://www.naro.go.jp/english/laboratory/nfri/about/index.html,84
"Institut de Recerca i Tecnologia Agroalimentàries (IRTA), España",websites,Research Institutes,http://www.irta.es/,85
"Food Research Institute, University of Wisconsin, USA",websites,Research Institutes,https://fri.wisc.edu/,86
"Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA), España",websites,Research Institutes,https://www.inia.es/Pages/Home.aspx,87
Food Research Institute Prague,websites,Research Institutes,http://www.vupp.cz/,88
Korean Food Research Institute,websites,Research Institutes,http://www.kfri.re.kr/newekfri/,89
"Central Food Technological Research Institute, India",websites,Research Institutes,http://www.cftri.com/,90
"The International Food Policy Research Institute (IFPRI), Washington DC, USA",websites,Research Institutes,http://www.ifpri.org/,91
"Food Research Institute, Stanford University, USA",websites,Research Institutes,http://www.stanford.edu/group/FRI/fri/index.html,92
"Centro de Investigación en Alimentación y Desarrollo, A.C. (CIAD), México",websites,Research Institutes,http://www.ciad.mx/,93
"Centro de Investigación Científica de Yucatán (CICY), Mérida, México",websites,Research Institutes,http://www.cicy.mx/,94
Global Agricultural Information Network,websites,Marketing information,http://gain.fas.usda.gov/Pages/Default.aspx,95
U.S. Apple & Pear Marketing Board,websites,Marketing information,http://www.fruit-usa.com/,96
Fresh Solutions,websites,Marketing information,http://www.freshsolutionsgroup.com.au/,97
DTN Produce Grower,websites,Marketing information,http://www.dtnprogressivefarmer.com/dtnag/crops;jsessionid=A66B5F4F30BD5B86F66E75B3FAF44DE7.agfreejvm2,98
Information Services For Agriculture,websites,Marketing information,http://www.agriculture.gov.zm/index.php?option=com_content&view=category&layout=blog&id=91&Itemid=1555,99
Produce Marketing Association,websites,Marketing information,http://www.pma.com/,100
Food Marketing Association,websites,Marketing information,http://www.fmi.org/,101
The Packer,websites,Marketing information,http://www.thepacker.com/,102
National Restaurant Association,websites,Marketing information,http://www.restaurant.org/,103
Packaging Intelligence Network,websites,Packaging and Containers,https://find-and-update.company-information.service.gov.uk/company/03067820/charges,104
San Jose State University Packaging Program,websites,Packaging and Containers,http://www.nufs.sjsu.edu/packaging/pkgintro/index.html,105
WeighPack,websites,Packaging and Containers,http://www.weighpack.com/,106
Packaging Strategies,websites,Packaging and Containers,http://www.packstrat.com/,107
FabriForm Inc.,websites,Packaging and Containers,http://www.fabriform.com/,108
"Mobile Forced Air Cooling Services, Inc.",websites,Packaging and Containers,http://www.coolforce.com/,109
Produce Reporter Company/Blue Book Services,websites,Production and Handling,https://www.producebluebook.com/media-kit/,110
Intensive Pear Production,websites,Production and Handling,http://www.hin.com.au/networks/blush-pear-research/intensive-blush-pear-production,111
"North Carolina State University, Horticulture Information Leaflets, Postharvest Handling of Horticultural Crops",websites,Research and Extension Information,http://www.ces.ncsu.edu/hil/,112
Food and Agriculture Organization of the United Nations. Provides world wide systems information on postharvest of grains and perishables. Also a communication platform for postharvest experts,websites,Research and Extension Information,http://www.fao.org/inpho/%22%20http://www.fao.org/inpho/,113
International Association of Refrigerated Warehouses,websites,Research and Extension Information,http://www.iarw.org/,114
Produce Marketing Association,websites,Research and Extension Information,http://www.pma.com/,115
United States Department of Agriculture,websites,Research and Extension Information,http://www.usda.gov/,116
U.C. Davis Postharvest Technology,websites,Research and Extension Information,http://postharvest.ucdavis.edu/,117
U.C. Integrated Pest Management,websites,Research and Extension Information,http://www.ipm.ucdavis.edu/,118
Center for Postharvest and Refrigeration Research,websites,Research and Extension Information,http://www.massey.ac.nz/massey/learning/colleges/college-of-health/institute-food-nutrition-human-health/research_collaborators/centre-for-postharvest-and-refrigeration-research/centre-for-postharvest-and-refrigeration-research_home.cfm,119
USDA-ARS Tree Fruit Research Laboratory,websites,Research and Extension Information,http://www.ars.usda.gov/main/site_main.htm?modecode=53-50-05-00,120
International Food Information Center,websites,Research and Extension Information,http://www.foodinsight.org/,121
U.C. Vegetable Research & Information Center,websites,Research and Extension Information,http://vric.ucdavis.edu/,122
U.C. Fruit & Nut Research and Information Center,websites,Research and Extension Information,http://fruitsandnuts.ucdavis.edu/,123
U.C. Food Science and Technology,websites,Research and Extension Information,http://foodscience.ucdavis.edu/,124
"Department of Environmental Horticulture, UC Davis",websites,Research and Extension Information,https://www.ucdavis.edu/majors/environmental-horticulture-and-urban-forestry,125
Texas A&M Horticulture,websites,Research and Extension Information,http://aggie-horticulture.tamu.edu/,126
North Carolina State University Postharvest Extension Programs,websites,Research and Extension Information,http://www.bae.ncsu.edu/bae/programs/extension/,127
Water Quality Association,websites,Sanitation,http://www.wqa.org/,128
Chlorine Handling,websites,Sanitation,http://c3.org/,129
"Janitorial Cleaning Services (JCS), New York Inc.",websites,Sanitation,http://www.commercialofficecleaning.com/,130
Soil Sanitation,websites,Sanitation,http://www.tractebel-engie.com/infrastructure/environment/site-rehabilitation/soil-sanitation/,131
Mission Produce Co.,websites,"Shippers, Suppliers, Brokers",http://www.missionpro.com/,132
The Nunes Co.,websites,"Shippers, Suppliers, Brokers",http://www.foxy.com/,133
J. Sainsburry,websites,"Shippers, Suppliers, Brokers",http://www.j-sainsbury.co.uk/home/,134
Dole,websites,"Shippers, Suppliers, Brokers",http://www.dole5aday.com/,135
Chiquita Online,websites,"Shippers, Suppliers, Brokers",http://www.chiquita.com/,136
Christopher Ranch Garlic,websites,"Shippers, Suppliers, Brokers",http://www.christopherranch.com/,137
Controlled Temperatures Shipping Products,websites,"Shippers, Suppliers, Brokers",http://www.fedex.com/us/healthcare/temp-control/,138
Monterey Mushrooms Inc.,websites,"Shippers, Suppliers, Brokers",http://www.montmush.com/,139
Nature Ripe Berry Growers,websites,"Shippers, Suppliers, Brokers",http://naturipeberrygrowers.com/,140
Temperature Data Loggers,websites,Temperature Recording,https://www.ptc1.com/?gclid=CjwKCAjwq5-WBhB7EiwAl-HEkvlNFZ0zqoMFDAzxOhWjYvC9sOvmaQ6Hsf4cV8dufkc-PDNyrX9qhBoCr1IQAvD_BwE,141
Sensitech,websites,Temperature Recording,http://www.sensitech.com/,142
American President Lines,websites,Transportation,http://www.apl.com/,143
Armellini Expressline,websites,Transportation,http://www.armellini.com/,144
OOCL Inc.,websites,Transportation,http://www.oocl.com/eng/Pages/default.aspx,145
Maritime Global Net,websites,Transportation,http://www.mgn.com/,146
Roadway Online,websites,Transportation,http://www.roadway.com/,147
Matson Navigation Co.,websites,Transportation,http://www.matson.com/,148
The Transport Web,websites,Transportation,http://www.transportweb.com/,149
Sealink Services,websites,Transportation,http://www.sealinkqld.com.au/,150
Farmington Fresh Air Transport,websites,Transportation,http://postharvest.ucdavis.edu/Postharvest_Yellow_Pages/?midcat=0&maincat=25&usernumber=422,151
Sealand,websites,Transportation,https://www.sealand.com/,152
C.H. Robinson Co.,websites,Transportation,http://www.chrobinson.com/,153
Australia – New Zealand Direct Line,websites,Transportation,http://www.australianexporters.net/companyID631.htm,154
Teaching Degree,websites,Education & works,https://www.teachingdegrees.com/,155
Social Work Degree,websites,Education & works,https://www.socialworkdegrees.org/,156
"Mexican Academy of Sciences (Academia Mexicana de Ciencias, AMC)",websites,Others,https://amc.edu.mx/amc/,157
Postharvest,websites,Others,http://www.postharvest.biz/index.php?lang=2,158
World Foods Logistics Organization,websites,Others,https://www.gcca.org/wflo/vision-mission-history,159
The Food and Agriculture Organization of the United Nations,websites,Others,http://www.fao.org/,160
Universidad Autónoma de Querétaro: The University of the State of Queretaro,websites,Others,http://www.uaq.mx/,161
Information Network on Pos-Harvest Operations,websites,Others,http://www.fao.org/inpho/inpho-home/en/?no_cache=1,162
American Society for Horticultural Science,websites,Others,http://www.ashs.org/,163
Cold Chain Experts,websites,Others,http://www.supplychainconference.com/,164
International Society for Horticultural Science,websites,Others,http://www.ishs.org/,165
Composition of foods,websites,Others,http://www.ars.usda.gov/ba/bhnrc/ndl,166
Gateway to U.S. government information on food safety,websites,Others,http://www.foodsafety.gov/,167
Gateway to U.S. government information on human nutrition and nutritive value of foods,websites,Others,http://www.nutrition.gov/,168
Google scholar,websites,Others,http://scholar.google.com.mx/,169
International Association for Food Protection,websites,Others,http://www.foodprotection.org/,170
Medline/PubMed,websites,Others,https://www.ncbi.nlm.nih.gov/pubmed/,171
"Microbiosymas, Food Safety",websites,Others,http://www.microbiosymas.com/,172
Partnership for Food Safety Education,websites,Others,http://www.fightbac.org/,173
"PLOS, Public Library of Science",websites,Others,https://www.plos.org/,174
Produce for Better Health Foundation’s promotion of produce consumption,websites,Others,https://www.vegetables.bayer.com/us/en-us/about/industry-collaborations/produce-for-better-health-foundation.html,175
"PubMed, A service of the U.S. National Library of Medicine and the National Institutes of Health",websites,Others,http://www.ncbi.nlm.nih.gov/pubmed/,176
Sydney Postharvest Laboratory information,websites,Others,http://www.postharvest.com.au/,177
Fruits & Veggies more matters: health benefits of fruits & vegetables,websites,Others,https://fruitsandveggiesmorematters.com/,178
University of California Postharvest Research and Information Center,websites,Others,http://postharvest.ucdavis.edu/,179
USDA interactive website about application of the 2005 Dietary Guidelines to individual consumers,websites,Others,http://fnic.nal.usda.gov/dietary-guidance/myplate-and-historical-food-pyramid-resources,180
World Health Organization (WHO),websites,Others,http://www.who.int/en/,181
The problem with disposable coffee cup recycling,websites,Others,https://www.cater4you.co.uk/blog/the-problem-with-disposable-coffee-cup-recycling/,182
A Practical Guide to Travelling as a Vegan,websites,Others,https://www.loveholidays.com/holidays/vegan-travel-guide/,183
Master Class UdeA,videos,Master Classes,https://youtu.be/SBvzQljE_5o?si=I5_haDM7aRKhJ7oT,1
Preventing food losses and waste to achieve food security and sustainability – An introduction,videos,Master Classes,https://www.youtube.com/watch?v=FqSwltZCoqM,2
Meal Exhange – An Introduction to Food Security,videos,Clips,https://www.youtube.com/watch?v=PE1-RYPJNdg,3
Food loss and Waste in the Near East and North Africa Region FAO,videos,Clips,https://www.youtube.com/watch?v=Kb45VlGMIxg&t=1s,4
"Fruit and Vegetable Phytochemicals: Chemistry and Human Health (2017). This video presents the second edition of the book Fruit and Vegetable Phytochemicals, which covers over 70 chapters written by experts from around the world on the chemistry, stability, and health benefits of phytochemicals found in fruits and vegetables, providing a comprehensive perspective for students, researchers, physicians, and the general public.",videos,Clips,https://www.youtube.com/watch?v=79m8VcylHu0,5
Food security – A growing dilemma,videos,Documentaries,https://www.youtube.com/watch?v=wu7PjKawjwI,6
Superfoods and the environment – Avocados and blueberries from South America,videos,Documentaries,https://www.youtube.com/watch?v=md5dgkDnZ9k,7
Entrevista al Dr. Elhadi Yahia Kazuz -Seguridad alimentaria-,videos,Interviews,https://youtu.be/THdFLJ8SR3c?si=5IeVrR6bG3b0J_sR,8
"Interview – Agroindustrial Practices. In this interview, the researcher Elhadi Yahia discusses his background. He explains topics such as food production and its negative effects and alternatives.",videos,Interviews,https://www.youtube.com/watch?v=VNq_NVGOcC8,9
December 2009. The Effect of Postharvest Techniques and Treatments on The Nutritional and Phytochemical Contents in Fruits and Vegetables. Part 1,videos,Conferences,http://ucast.upm.edu.my/play.php?vid=227,10
Public lecture. December 2009. The Effect of Postharvest Techniques and Treatments on The Nutritional and Phytochemical Contents in Fruits and Vegetables. Part 2.,videos,Conferences,http://ucast.upm.edu.my/play.php?vid=228,11
"Al-Khayri, J. M., Jain, S. M. y Penna, S. (eds.) (2025). Biodiversity and Genetic Improvement of Herbs and Spices. 1ra ed. Cham: Springer. ISBN 978-3-031-81838-7.",books,2025,https://link.springer.com/book/9783031818370,1
"Kumar, A., Puopolo, G., Villalobos, S.d.l.S., and Solanki, M.K. (eds) (2025) Fruit Microbiome Emerging Aspects in Postharvest Disease Management . 1st edn. Academic Press. ISBN: 9780443339639",books,2025,https://shop.elsevier.com/books/fruit-microbiome/kumar/978-0-443-33963-9,2
"Manganaris, G. (ed.) (2025) Temperate Tree Fruits and Nuts . 1st edn. Elsevier. ISBN: 9780443291371",books,2025,https://shop.elsevier.com/books/temperate-tree-fruits-and-nuts/manganaris/978-0-443-29137-1,3
"Noll, S. (2025). Ethical Omnivores: Better Eating for Everyone (1st ed.). Routledge. ISBN 9781032104041.",books,2025,https://www.routledge.com/Ethical-Omnivores-Better-Eating-for-Everyone/Noll/p/book/9781032104041,4
"Ali, S., Mir, S.A., Dar, B.N. and Ejaz, S. (eds) (2024) Sustainable Postharvest Technologies for Fruits and Vegetables . 1st edn. CRC Press, Boca Raton. ISBN: 9781003370376",books,2024,https://www.taylorfrancis.com/books/edit/10.1201/9781003370376/sustainable-postharvest-technologies-fruits-vegetables-sajid-ali-shabir-ahmad-mir-dar-shaghef-ejaz,5
"Carrillo, D., Schaffer, B., Wolstenholme, B.N. and Whiley, A.W. (2024) The Avocado: Botany, Production and Uses . 3rd edn. CABI. ISBN 978-1-80062-180-0",books,2024,https://www.cabidigitallibrary.org/doi/book/10.1079/9781800621824.0000,6
"Crumlish, M. and Norman, R. (2024) Aquatic Food Security . CABI. CABI. ISBN 978-1-78918-132-6",books,2024,https://www.cabidigitallibrary.org/doi/book/10.1079/9781800629004.0000,7
"Mitra, S. (2024) Dragon Fruit: Botany, Production and Uses . CABI. ISBN 978-1-80062-313-2",books,2024,https://www.cabidigitallibrary.org/doi/book/10.1079/9781800623156.0000,8
"Nirmal, N., Benjakul, S., and Bono, G. (eds) (2024) Postharvest Technologies and Quality Control of Shrimp . 1st edn. Academic Press. ISBN: 9780443161247",books,2024,https://www.sciencedirect.com/book/9780443161247/postharvest-technologies-and-quality-control-of-shrimp,9
"Öz, Ö., & Aksoy, Z. (2024). Food Co-operatives in Turkey: Building Alternative Food Networks (1st ed.). Routledge. ISBN 9781032266282.",books,2024,https://www.routledge.com/Food-Co-operatives-in-Turkey-Building-Alternative-Food-Networks/Oz-Aksoy/p/book/9781032266282,10
"Adetunji, C.O., Hefft, D.I., Mbuge, D.O., and Workneh, T.S. (eds) (2023) Evaporative Coolers for the Postharvest Management of Fruits and Vegetables . 1st edn. Academic Press. ISBN: 9780323898645",books,2023,https://www.sciencedirect.com/book/9780323898645/evaporative-coolers-for-the-postharvest-management-of-fruits-and-vegetables,11
https://www.routledge.com/Routledge-Handbook-of-Sustainable-Diets/Kevany-Prosperi/p/book/9781032004976,books,2023,https://www.routledge.com/Routledge-Handbook-of-Sustainable-Diets/Kevany-Prosperi/p/book/9781032004976,12
"Manganaris, G.A., Costa, G., & Crisosto, C.H. (2023). Peach . CABI. ISBN 978-1-78924-843-2",books,2023,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789248456.0000,13
"Mitra, S. (2023) Jackfruit: Botany, Production and Uses . CABI. ISBN 978-1-80062-229-6",books,2023,https://www.cabidigitallibrary.org/doi/book/10.1079/9781800622319.0000,14
"Noakes, T., Murphy, T., Wellington, N., Kajee, H., Bullen, J., Rice, S. y Egnos, C. (2023). Ketogenic: The Science of Therapeutic Carbohydrate Restriction in Human Health. 1ra ed. Elsevier. ISBN 978-0-12-821617-0.",books,2023,https://www.sciencedirect.com/book/9780128216170/ketogenic,15
"Papasseit i Totosaus, P., Olmos, L.M., Namesny, A. & Conesa Domínguez, C. (Eds.). (2023). Envasado sostenible de frutas y hortalizas. Mundi-Prensa. ISBN 978-84-16909-51-3.",books,2023,https://issuu.com/horticulturaposcosecha/docs/envasado_sostenible_de_frutas_y_hortalizas,16
"Singh, B.P., Agnihotri, S., Singh, G., and Gupta, V.K. (eds) (2023) Postharvest Management of Fresh Produce Recent Advances . 1st edn. Academic Press. ISBN: 9780323911320",books,2023,https://www.sciencedirect.com/book/9780323911320/postharvest-management-of-fresh-produce,17
"Yahia, E. M. (2023). Sustainable production and postharvest handling of avocado. 1ra ed. Burleigh Dodds Science Publishing. ISBN 978-1801467254.",books,2023,https://shop.bdspublishing.com/store/bds/detail/workgroup/3-190-134279,18
"Florkowski, W.J., Banks, N.H., and Prussia, S.E. (eds) (2022) Postharvest Handling A Systems Approach . Fourth Edition. Academic Press. ISBN: 978-0-12-408137-6",books,2022,https://www.sciencedirect.com/book/9780128228456/postharvest-handling%20%20PDF:https://irrec.ifas.ufl.edu/postharvest/HOS_5085C/Reading%20Assignments/Postharvest%20Handling-%20A%20Systems%20Approach.pdf,19
"Martindale, W., Duong, L. and Jagtap, S. (2022) Food Industry 4.0: Unlocking Advancement Opportunities in the Food Manufacturing Sector . CABI. ISBN: 978-1-78924-842-5",books,2022,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789248593.0000,20
"Nguyen, M. and Kha, T.C. (2022) Gac Fruit: Advances in Cultivation, Utilization, Health Benefits and Processing Technologies . CABI. ISBN: 978-1-78924-729-9",books,2022,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789247329.0000,21
"Rabinowitch, H. and Thomas, B. (2022) Edible Alliums: Botany, Production and Uses . CABI. ISBN: 978-1-78924-997-2",books,2022,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789249996.0000,22
"Sarkhosh, A., Yavari, A. and Ferguson, L. (2022) The Fig: Botany, Production and Uses . CABI. ISBN: 978-1-78924-288-1",books,2022,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789242881.0000,23
"Sivakumar, D., Netzel, M. and Sultanbawa, Y. (2022) Handbook of Phytonutrients in Indigenous Fruits and Vegetables . CABI. CABI. ISBN 978-1-78924-804-3",books,2022,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789248067.0000,24
"Castillo, C. E. (2021) El camino hacia una mejor postcosecha. 1ª ed. Editorial Autores de Argentina. ASIN: B09C6H43JJ.",books,2021,https://autoresdeargentina.com/product/el-camino-hacia-una-mejor-poscosecha-claudio-enrique-estevez-castillo/,25
FAO y CIRAD. 2021. Frutas y hortalizas: Oportunidades y desafíos para la agricultura sostenible a pequeña escala. Roma.,books,2021,https://openknowledge.fao.org/items/4bbf2fd9-af8c-4d1c-b7a4-c7f0e6c54d60,26
"Galanakis, C.M. (ed.) (2021) Food Losses, Sustainable Postharvest and Food Technologies . 1st edn. Academic Press. ISBN: 9780128219126",books,2021,https://www.sciencedirect.com/book/9780128219126/food-losses-sustainable-postharvest-and-food-technologies,27
"Mitra, S. (2021). Guava: botany, production and uses. CABI. ISBN 978-1-78924-702-2.",books,2021,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789247022.0000,28
"Moorthy, S.N., Sajeev, M.S., Ambrose, R.P.K. & Anish, R.J. (2021). Tropical tuber starches: structural and functional characteristics. CABI. ISBN 978-1-78639-481-1.",books,2021,https://www.cabidigitallibrary.org/doi/book/10.1079/9781786394811.0000%20%20PDF:https://www.researchgate.net/publication/363474709_Tropical_tuber_starches_structural_and_functional_characteristics,29
"Sarkhosh, A., Yavari, A.M. & Zamani, Z. (2021). The pomegranate: botany, production and uses. CABI. ISBN 978-1-78924-076-4.",books,2021,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789240764.0000#,30
"Sassine, Y.N. (2021) Mushrooms: Agaricus bisporus . CABI. ISBN: 978-1-80062-041-4",books,2021,https://www.cabidigitallibrary.org/doi/book/10.1079/9781800620414.0000,31
"Thompson, A.K. & Oduro, L. (2021). Yams: botany, production and uses. CABI. ISBN 978-1-78924-927-9.",books,2021,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789249279.0000,32
"Alexander, T.R. & Valliere, B.L.E. (2020). The Professional Handbook of Cider Tasting. CABI. ISBN 978-1-78924-549-3.",books,2020,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789245493.0000,33
"Crisosto, C.H. & Crisosto, G.M. (2020). Manual on postharvest handling of Mediterranean tree fruits and nuts. CABI. ISBN 978-1-78924-717-6",books,2020,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789247176.0000,34
"Emmanuel, G. and Philipp, W.S. (2020) Carrots and related Apiaceae crops . 2nd edn. CABI. ISBN: 978-1-78924-095-5",books,2020,https://www.cabidigitallibrary.org/doi/book/10.1079/9781789240955.0000,35
"Maier, D.E. (ed.) (2020) Advances in grain drying: Technologies and applications . Burleigh Dodds Science Publishing.",books,2020,https://shop.bdspublishing.com/store/bds/detail/workgroup/3-190-89119,36
