post_title,team_group,team_role,team_bio,team_tags,menu_order,featured_image
Geraldine Larissa Villegas Villareal,past,Previous Member,Education: B. Sc. Biology Student at Autonomous University of Querétaro.,México,2,
Juan Omar Reyes Sánchez,past,Previous Member,Education: B. Sc. Biology Student at Autonomous University of Querétaro.,México,3,
Dr. Braulio Cervantes,past,Previous Member,"(Postdoctoral) Education: Doctorate in Food Technology at Research Center for Food and Development, A. C. Chihuahua, Mex.( 2012-2016). M. Sc. in Food Technology at Research Center for Food and Development, A. C. Chihuahua, Mex. (2009-2011). B. Sc. In Biochemical Engineering at Higher Technological Institute. Irapuato, Mex. (2004-2008). Research Project: Effect of ripening on profile of bioactive compounds and fatty acids in avocado and their bioaccessibility.",México,4,
Dr. Nagwa Salih,past,Previous Member,"Research scientist (Assistant professor), Forestry Reserach Centre, Sudán. Education: B.Sc in Forestry from University of Khartoum, SUDAN (1991), M.Sc and Ph.D in Ecology and Environmental Research from the Swedish University of Agricultural Sciences, Sweden (1995 and 2001). Dr. Nagwa Salih has been awarded a TWAS fellowship for Research and Advanced training to spend one year (from May 2009 to April 2010) at the Phytochemistry and Nutrition Laboratory. Dr. Salih has jointed Prof. Yahia’s research team to work on the nutritional importance of wild food in Eastern Nuba Mountains, Sudan. The project aims at studying the chemical composition of some of the indigenous wild food in Nuba Mountains and relates that to human nutrition and health.",Sudán,5,
José Andrés Zúñiga Rodríguez,past,Previous Member,Education: Student of Biology at the Autonomous University of Querétaro (UAQ). Currently: working as SNI Level III/Emeritus researcher assistant at the Phytochemicals and Nutrition Laboratory.,México,6,
Dr. Dulce M. Rivera Pastrana,past,Previous Member,"(Postdoctoral) Education: Doctorate in Science from the Research Center for Food and Development A.C. (CIAD. A.C.), Hermosillo, Son. (2010); M. Sc.(2005) in Molecular Biology at the Institute for Scientific and Technological Research of San Luis Potosi (IPICYT). Food Engineer (2003) at the Faculty of Chemistry of the Autonomous University of San Luis Potosí. Research interests: Phytochemical characterization of vegetal food products, analysis of antioxidant capacity and pigment contents of fruit during ripening. Effect of maturity and postharvest technologies on physiological and biochemical changes of tropical fruits. Other information: Research assistant and coordinator of the laboratory (2010-2012).",México,7,
Dra. Gloria Yareli Gutiérrez Silerio,past,Previous Member,"Education: Student of Biology at the Autonomous University of Querétaro (UAQ). Currently: working as SNI Level III/Emeritus researcher assistant at the Phytochemicals and Nutrition Laboratory. Education: Doctorate in Biomedical Sciences with Orientation in Immunology, University of Guadalajara (2016-2020), Bachelor’s Degree in Nutrition, Universidad Juárez del Estado de Durango (2009-2014). Professional experience : Immunology classes to Bachelor of Medicine Research Lines: Immuno-nutrition, Cancer Immunology, Natural Killer Cells and Cervical-uterine Cancer. Recent Articles: Positive staining of immunoligand B7-H6 in abnormal / transformed keratinocytes consistently accompanies the progression of cervical cancer (BMC Immunology). B7-H6, an immunoligand for the NKp30 natural killer cell",México,8,
M.Sc. Catalina González Nava,past,Previous Member,"Education: B.Sc. in Biochemical Engineering, Celaya Technological Institute (1999-2003). Professional experience: As Promoter of environmental projects at the Ecology Municipal Institute of Celaya (2004-2005). As director of Management and Planning for Sustainable Development Department (2005-2008). Present activity: M.Sc. Student in the Biotic Resources Program of the Natural Sciences Faculty from the Autonomous University of Queretaro (FCN-UAQ). Thesis Project: Physicochemical Characterization of Garambullo Fruit (Myrtillocactus geometrizans). This thesis is being developed at the Laboratory of Phytochemicals and Human Nutrition of the FCN-UAQ.",México,9,
M.Sc. Laura Elizabeth Gayosso García Sancho,past,Previous Member,"(Ph. D. student) Education: B.Sc in Biochemical Food Engineering, Instituto Tecnológico de Monterrey (ITESM); M.Sc. in Technology of Food of Vegetable Origin, Research Center for Food and Development A.C. (CIAD), Hermosillo, Sonora, México. Professor-Researcher at “Centro de Estudios Superiores del Estado de Sonora (CESUES)” in Hermosillo, Sonora, México. Currently a Ph. D. student at Research Center for Food and Development A.C. (CIAD), under the direction of Prof. Gustavo Gonzalez-Aguilar. Her research thesis focuses on the evaluation of the antioxidant and antiproliferative capacity of extracts of papaya fruit (Carica papaya L.) at different stages of maturity.",México,10,
M.Sc. Hugo Palafox-Carlos,past,Previous Member,"(Ph.D. student) Education: He obtained the degree of Biotechnologist Engineer (2005) at the Institute of Technology of Sonora (ITSON, Cd. Obregon, Son). He has a Master of Science in Biotechnology (2008) at the Northwest Biological Researching Center (CIBNOR, La Paz, BCS). In both bachelor and master thesis he worked in the development of innovative technology for processing seafood ad marine protein sources. Currently he is a Ph. D. student at the Center for Food Research and Development A.C. (CIAD. A.C. Hermosillo, Son). His research area is focused on biochemical and molecular evaluation of antioxidant phenolic compounds and their biosynthesis during the ripening of mango “ataulfo”. He is planning to spend around three months (June – August 2010) at Dr. Yahia’s (who also serves as member of his Ph.D. committee) laboratory of Phytochemicals and Nutrition to identify and quantify the phenolic compounds in mango at different ripening stages. Additional information: Professional experience as a food manufacturing plant designer and worked as production supervisor in Nutrimar (aquaculture feed producer). Also he labored as a teacher in food biochemical courses at ITSON. He has two publications and two awards in international congresses.",México,11,
M.Sc. Fabiola Gutiérrez-Orozco,past,Previous Member,"(Postdoctoral) Education: M.Sc. in Human Ecology with Specialization in Human Nutrition (The Ohio State University, 2008); and B.Sc. in Agro-Industrial Engineering (Autonomous University of Chapingo, Mexico, 2003). Professional Experience: Nutrition specialist and product developer at Nestlé Product Development Center, Marysville, OH, USA, 2009. Research Lines: M.Sc. thesis research included the analysis of the anti-cancer and anti-inflammatory properties of green and black tea extracts and their catechins on gastric cancer using an in vitro model. The anti-cancer activity of chokeberry anthocyanins on a colon cancer in vitro model was also analyzed. Other information: Coordinator of the Phytochemicals and Nutrition laboratory (2009-2010).",México,12,
IBQ. Claudia Cecilia Arvizu de León,past,Previous Member,"Education: B.Sc. in Biochemical Engineering, Technological Institute of Celaya (2009). Laboratory Activity: Made a research of two important fruits in Mexico, named: “Antioxidants in black zapote (Diospyros digyna Jacq.) and mamey (Pouteria sapota Jacq. H.E. Morre & Steam)”. This proyect finished in year 2009 with to great pappers published with colaboration of Fabiola Gutierrez.",México,13,
IBQ. Francisco Javier Esparza Martínez,past,Previous Member,"Education: M.Sc. in Biochemical Engineering, Technological Institute of Celaya (2002-2006). Laboratory activity: M.Sc. at the Technological Institute of Celaya, carrying a research project on “Physicochemical Characterization and Evaluation of the Antioxidant Capacity and Glucemiant of Pitahaya Fruit (Hylocereus spp.)”. This project is being developed in the Phytochemicals and Nutrition Laboratory at UAQ in Queretaro, Mexico in collaboration with Dr. Cristina Perez from the Technological Institute of Celaya, Guanajuato, Mexico.",México,14,
Claudia Victoria Campos,past,Previous Member,"Education: M. Sc. student at the Research Center for Food and Development A.C. (CIAD), Cuauhtémoc, Chihuahua. Activity: Claudia has worked in collaboration with Dr. José de Jesús Ornelas and Dr. Elhadi Yahia to achieve a better understanding of physico-chemical consecuences of heat in micellarization and bioaccessibility of fatty fraction of peppers which results are available in her thesis: ” Carotenoids of pepper (Capsicum annuum) determination in function of maturation stage, heat treatmet and fat type”; and the published pappers.",México,15,
Marco Antonio Moreno-Perez,past,Previous Member,"Education: B.Sc. student in Biology in the Faculty of Natural Sciences, Autonomous University of Queretaro. Laboratory Activity: Carryied a research project on extraction y quantification of antioxidants in several species of wild mushrooms from Laguna de Servin, Amealco, Queretaro. This project was developed in the Phytochemicals and Nutrition laboratory.",México,16,
Javier Álvarez Sánchez,past,Previous Member,Education: B.Sc. Student in Agricultural Chemistry at the Faculty of Chemistry. Laboratory activity: He carried out a thesis research proyect titled: “Phytochemical and physicochemycal analysis of fruits from small chillies biznagas ( Mammillaria spp. )”.,México,17,
Edgar Armando Salinas-Martinez,past,Previous Member,"Education: B.Sc. student on software engineering at the Faculty of Informatics of the Autonomous University of Queretaro. His interests are in the development of software, technology of business intelligence, programming tools and interaction with business leaders. Activity: He collaborated as webmaster, and in maintaining laboratory equipments and networks.",México,18,
Daniel H. Carreon Rangel,past,Previous Member,Education: B. Sc. Biochemestry in Autonomous University of Coahuila (Current student). Laboratory Activity: Summer student from june to july 2014. Collaborated in the analysis of Curuba fruit ( Passiflora mollisima ) to determine their antioxidant capacity with different assays.,México,19,
Anali Alba,past,Previous Member,Education: B. Sc. Nutrition in Autonomous University of Aguascalientes (Current student). Laboratory activity: Summer student from june to july 2014. Collaborated in the analysis of Curuba fruit ( Passiflora mollisima ) to determine their antioxidant capacity with different assays.,México,20,
Ricardo Rodríguez Rivera,past,Previous Member,"Education: B. Sc. Food Industry Engineering, Technological Institute of Los Mochis, 2013. Laboratory Activity: Laboratory technician and research assistant (September 2012 – July 2014).",México,21,
Andrea Corrales Bernal,past,Previous Member,"Education: B. Sc. Microbiology and bioanalisis, University of Antoquia (2006). Doctorate in Biomedical Science at University of Antoquia (Current student). Laboratory Activity: Doctorate student in Biomedical Science at University of Antoquia. Thesis Project: Experimental model of chemoprevention in colon cancer with mango fruit (cv. sugar). Her thesis was being developed at the laboratory (March 2014 – October 2014).",Colombia,22,
Spc. Alejandro Núñez Vilchis,past,Previous Member,"Education: Speciality in Analytical Instrumentation at Autonomous University of Querétaro. (2014-2015). B. Sc. In Pharmaceutist Biologist Chemist at Autonomous University of Querétaro. Querétaro, Mex. (2008-2012). Professor of Analytical Instrumentation Laboratory at Chemistry Faculty. In Autonomous University of Querétaro. Master´s degree in chemical sciences at the National Autonomous University of México (2018-2019). PhD student in chemical sciences at the National Autonomous University of México (2020-).",México,23,https://elhadiyahia.net/wp-content/uploads/2022/08/294927309_429090598978520_1464160715838395064_n.jpg
Jesús Jiménez Zárate,past,Previous Member,"Education: B.Sc. in Biology in the Faculty of Natural Sciences, Autonomous University of Querétaro. M.Sc. student in Biological Sciences.",México,24,
Juan Ornelas Paz,past,Previous Member,"Education: B.Sc. Chemical Engineering, Autonomous University of Chihuahua. Project: Chemical and morphological evaluation of Mexican avocados.",México,25,
Miguel Ángel Hernández Mejía,past,Previous Member,"Education: B. Sc. Enviromental Horticulture Student in the Faculty of Natural Sciences, AutonomousUniversity of Querétaro.",México,26,
Rebeca Renaud Rangel,past,Previous Member,"Education: B. Sc. Enviromental Horticulture Student in the Faculty of Natural Sciences, Autonomous University of Querétaro.",México,27,
Daniela Alicia Torres Anaya,past,Previous Member,"Education: B.Sc. in Biology in the Faculty of Natural Sciences, Autonomous University of Querétaro. M.Sc. student in Biological Sciences.",México,28,
Dr. Pablo Alán Rodríguez Salinas,past,Previous Member,"Education: Doctorate in Agricultural Sciences, Autonomous University of Nuevo León (2016-2019), M. Sc. In Agricultural Production, Autonomous University of Nuevo León (2012-2014), Engineer in Food Industries, Autonomous University of Nuevo León (2000 -2006). Professional experience: Professor at Faculty of Agronomy (FAUANL), Campus Gral. Escobedo, N. L., 2019-2020; PIASA, S.A. de C.V. 2008-2011, (Leader in new product development). Fábrica de Dulces RAVI, S.A. de C.V. 2006 – 2007 (Production). Research lines: Postharvest, nutraceutical food formulation, evaluation of the effect of food preservation processes on nutraceutical quality. Characterization and quantification of phenolic compounds (phenolic acids, flavonoids, condensed tannins and anthocyanins). Recent articles: Chromatic, Nutritional and Nutraceutical Properties of Pigmented Native Maize (Zea mays L.) Genotypes from the Northeast of Mexico (Published). Thermal Processing Effects on the Microbiological, Physicochemical, Mineral, and Nutraceutical Properties of a Roasted Purple Maize Beverage (Published). Effect of thermo-sonication and pasteurization on the nutraceutical properties of white and purple corn beverages (Accepted).",México,29,
Rolando Mendoza Zuñiga,past,Previous Member,"Education: B.Sc. In Marine Biology at Instituto Tecnológico de Boca del Río. Veracruz, Mex. (2011-2015).",México,30,
Ricardo Sánchez Castillo,past,Previous Member,Education: B. Sc. Enviromental Horticulture student at Autonomous University of Querétaro.,México,31,
Daniela Pérez Rubio,past,Previous Member,Education: Chemical engineer graduated from the University of Sonora. Working in the experimental work of her Master of Science thesis.,México,32,https://elhadiyahia.net/wp-content/uploads/2022/03/DD-1.jpeg
Diana León,past,Previous Member,Education: Chemical engineer graduated from the University of Sonora. Working in the experimental work of her Master of Science thesis.,México,33,https://elhadiyahia.net/wp-content/uploads/2022/03/D.jpeg
Alondra Del Rocio Martínez Olvera,past,Previous Member,Education: Bachelor's degree student in Nutrition at the Autonomous University of Querétaro (UAQ). Currently: Working as an SNI Level III researcher assistant at the UAQ Phytochemistry and Nutrition Laboratory. Social service intern at Regional General Hospital no. 2 IMSS in Querétaro,México,34,
Dana Karyme Vélez Ramírez,past,Previous Member,Education: Student of Political Sciences and Administration at the Autonomous University of Querétaro (UAQ). Currently: Research assistant at the Phytochemistry and Nutrition Laboratory and manager of it web page,México,35,https://elhadiyahia.net/wp-content/uploads/2025/07/yo.jpg
